plot,SR_real,year_mean,year_cv,ntrees,total_biomass,gini,H,H_normalized
113,1,2016.10410557185,0.000275180680076873,682,16408.520565204,0.724923986331892,0,
114,12,2016.11964549483,0.000270670944723457,677,146067.09617484,0.838080732170539,0.75916904750642,0.703467605915863
115,2,2016.07703488372,0.000216527360580594,688,175490.388782743,0.808892595357089,0.104114942100657,0.345862351261744
116,6,2016.11893583725,0.000311083175220684,639,122643.878966669,0.856976033524837,0.442892357165675,0.569159732053789
117,2,2016.19534883721,0.000379679699403621,645,63078.382882709,0.766904846370255,0.0328549038181048,0.109141628048184
118,2,2016.09795321637,0.000231232726694589,684,413276.170770824,0.780194826390292,0.127978899484123,0.425136701749074
119,2,2016.16741405082,0.000321833430522364,669,19536.718021758,0.787895830939731,0.291655420351323,0.968858334891244
12,4,2016.09937888199,0.000276379666264651,644,11961.997852497,0.740345260158352,0.470182478698425,0.780956192856039
120,12,2016.12259970458,0.000276993750019474,677,174347.147043196,0.850048620778864,0.787224497892767,0.729464583243903
121,2,2016.0998509687,0.000255881208385352,671,14982.487973779,0.816687351832592,0.252022458941325,0.837200486899785
122,2,2016.10159651669,0.000270677332147395,689,250739.306587924,0.737863812235698,0.269393541152076,0.894905972934275
123,4,2016.13157894737,0.000292889139010264,684,202719.10634024,0.797662889677765,0.427973835864992,0.710849154618314
124,1,2016.08683068017,0.000219227643178857,691,69758.824507814,0.702076860657754,0,
125,12,2016.09302325581,0.000233345427467041,688,255541.718087688,0.823723882452343,0.848740112394224,0.786466699178322
126,1,2016.05179856115,0.000170640995053137,695,531882.190768845,0.659440357466055,0,
127,4,2016.29115853659,0.000454219707425905,656,243723.666620709,0.831655064575821,0.326942587847612,0.543039883993081
128,2,2016.10856269113,0.000320880254593433,654,308443.805863061,0.697760261241285,0.242294940669996,0.804886370660725
129,1,2016.16717791411,0.000377333624523427,652,105634.399944527,0.792992950587231,0,
13,4,2016.3897515528,0.000434329568446197,644,65250.869327853,0.867502837538698,0.181319963534356,0.301165940514365
130,6,2016.36394557823,0.000419562296805081,588,163543.486831806,0.841898410311058,0.461460630069535,0.593021767737347
131,2,2016.27967479675,0.000448406481313501,615,4160.30967772,0.698338431993006,0.300016728395996,0.996633998994849
132,1,2016.09649122807,0.000245728908873978,684,16681.903174027,0.814123715593593,0,
133,4,2016.37581699346,0.000443927250933648,612,159978.658026009,0.870532171920751,0.301823667960221,0.501318261149507
134,2,2016.22788605697,0.000401923550144482,667,15687.043126007,0.803621603320766,0.300001836282192,0.996584528463613
135,4,2016.17001545595,0.000329614403455245,647,231409.241132811,0.832034378597809,0.351392209705071,0.583649826871914
136,4,2016.20579268293,0.000410745733405759,656,52552.944265515,0.829174355851858,0.237969307659575,0.395258464417618
137,1,2016.12835820896,0.000307399058937969,670,12510.671700314,0.831482419293945,0,
138,4,2016.32362459547,0.000433445419337508,618,90367.407691369,0.751654143412937,0.400975237685812,0.666005453711319
139,1,2016.12351190476,0.000236651956623765,672,28419.41218212,0.735466184538311,0,
14,4,2016.35893155259,0.000405526368949409,599,16993.824742718,0.852986104238824,0.443732090335884,0.737023048744935
140,2,2016.04867256637,0.000210040438104194,678,304836.087809545,0.744063638585138,0.283174438185023,0.940685121960772
141,1,2017.94701986755,0.000661996539728972,302,559.791650858,0.778902119773383,0,
142,4,2016.10279001468,0.000252918020797533,681,183674.995577296,0.877330468436531,0.194106325474974,0.322403627995333
143,6,2016.32653061224,0.000455329765267149,637,180047.66447871,0.885201500100579,0.253751071486126,0.326094793731967
144,1,2016,0,700,25620.474948858,0.706890778671499,0,
145,1,2016,0,698,632557.465184782,0.65746183545044,0,
146,2,2016.11013215859,0.000287675206461358,681,385951.074880449,0.671213510082033,0.272233905423952,0.904341458808734
147,4,2016.08211143695,0.00022601935679978,682,365589.937183667,0.783445613338376,0.442794268905551,0.735465361066229
148,2,2016.08393632417,0.000176260469314714,691,80063.831300036,0.734886840557302,0.301018517482404,0.999961870306141
15,4,2016.16765578635,0.000374681696184801,674,187189.745464778,0.839618298423446,0.299396631440553,0.497287040748506
16,4,2016.41232227488,0.000463221974188035,633,125283.819444166,0.853324663372057,0.235076874877923,0.390454237557647
17,4,2016.19061583578,0.000329865362471448,682,156226.06450954,0.86908986809153,0.235007549804828,0.390339091103649
18,6,2016.04525547445,0.000185435972625593,685,224577.07970269,0.825933625584345,0.563144146176984,0.723694970482079
19,2,2016.09530791789,0.000246949425084583,682,27003.561004027,0.81677163130055,0.217431826413071,0.722292892884251
2,6,2016.23123123123,0.000323201819195412,666,73605.365975715,0.878617322552616,0.353712879665933,0.45455543442428
20,2,2016.26283987915,0.000338699721756696,662,370242.085265501,0.706118044926599,0.298852785743338,0.992767465196147
21,2,2016.08115942029,0.000247432957988308,690,242438.22107321,0.649004503307641,0.283480397446738,0.941701496628154
22,1,2016.13292117465,0.000338326887439766,647,465713.271043025,0.713875656271351,0,
23,4,2016.3499222395,0.000406951705924623,643,13598.524787495,0.793101302785151,0.479557330330172,0.796527484366489
24,5,2016.56651017214,0.000531503807040568,639,130402.819044288,0.875404025176173,0.250637062016894,0.358580569211958
25,4,2016.08638360176,0.00021978316630559,683,94480.13606034,0.772674736987339,0.473049254279199,0.785717804027794
26,2,2016.08683068017,0.000231874356503659,691,12444.669660924,0.791307982875054,0.299051644865583,0.993428060901259
27,4,2016.08040935673,0.000250770193719686,684,229725.015723589,0.828024379559876,0.3651142383294,0.606441623074918
28,4,2016.0628742515,0.000175351704599049,668,14271.160972401,0.836818480432607,0.478024891206352,0.793982158076927
29,2,2016.36883942766,0.00043105821924945,629,380428.180532362,0.720267374356671,0.28876997534803,0.959273094068553
3,12,2016.23860182371,0.000354443670514728,658,159642.580660139,0.865363388135537,0.689067649285997,0.638509658882256
30,4,2016.24088748019,0.000375640518002982,631,16598.532264209,0.830744720662051,0.450908267638667,0.748942421242938
31,2,2016.04949053857,0.000204248534851805,687,224796.104419293,0.81697586870953,0.0590749431185654,0.196242713249435
32,12,2016.44833068363,0.000510540492388554,629,149384.753541761,0.848898644015236,0.770846889278261,0.71428862584612
33,4,2016.31768388106,0.000389995687220261,639,34701.236928268,0.806942687550209,0.525681566774453,0.873138182816231
34,4,2016.215625,0.000399337943580958,640,45637.680557853,0.860911149569147,0.303412585574417,0.503957396181037
35,2,2016.94795539033,0.000620294697518569,538,6796.801885494,0.813050989824196,0.113190665983755,0.376011253410447
36,4,2016.23449319213,0.000431972046781964,661,139050.335829231,0.916151784408308,0.086683872493026,0.143978795704108
37,2,2017.09444444444,0.000600265408229956,540,192186.530212318,0.849442085602206,0.00430828294689802,0.0143118061620247
38,1,2016.06060606061,0.000219452312098386,693,17464.812943979,0.775531422852584,0,
39,1,2016.06078147612,0.000229292614189301,691,101276.168693524,0.716525730750017,0,
4,2,2016.59390862944,0.00046308882417778,591,137853.423555485,0.830899393144626,0.00524995622346555,0.017439977075659
40,2,2016.21524663677,0.00033182853146754,669,285954.023980908,0.725079258831199,0.298188244665668,0.990559907520029
41,4,2016.28438948995,0.000460809584058839,647,89477.02880736,0.895251991068549,0.147393596902,0.244815465277629
42,2,2016.7241962775,0.000567950266479334,591,199652.772668421,0.81212502463733,0.00634570068702461,0.0210799613939731
43,1,2016.38510301109,0.000469831159419448,631,9558.814908535,0.774230590477672,0,
44,2,2016.28260869565,0.000429656233599191,644,161650.650401852,0.835061893166485,0.0829151244039828,0.275438081248671
45,1,2016.09880239521,0.000257295471584549,668,7472.692011908,0.748187384494082,0,
46,2,2016.69529983793,0.000501748877052651,617,29221.700684523,0.851612630770568,0.0429406572486474,0.142645775727211
47,1,2016.26395173454,0.000394485764393623,663,10637.896883805,0.795295258629665,0,
48,2,2016.05847953216,0.000219426250052356,684,113933.207949228,0.855674526630739,0.0804771968522638,0.267339461221316
49,4,2016.12071535022,0.00028242167686621,671,117762.463749892,0.879301621174309,0.224487744009588,0.372866071891667
